Random Sampling
Training parameters: {'LOG_DIR': '../logs', 'dataset': 'cars', 'sz_embedding': 512, 'sz_batch': 128, 'nb_epochs': 60, 'gpu_id': 0, 'nb_workers': 0, 'model': 'googlenet', 'loss': 'Triplet', 'optimizer': 'adamw', 'lr': 0.0001, 'weight_decay': 0.0001, 'lr_decay_step': 20, 'lr_decay_gamma': 0.5, 'alpha': 32, 'mrg': 0.1, 'IPC': None, 'warm': 1, 'bn_freeze': 1, 'l2_norm': 1, 'remark': ''}
Training for 60 epochs.

0it [00:00, ?it/s]
Train Epoch: 0 [1/62 (0%)] Loss: 0.052902: : 0it [00:02, ?it/s]
Train Epoch: 0 [1/62 (0%)] Loss: 0.052902: : 1it [00:02,  2.70s/it]
Train Epoch: 0 [2/62 (2%)] Loss: 0.051951: : 1it [00:04,  4.06s/it]
Train Epoch: 0 [2/62 (2%)] Loss: 0.051951: : 2it [00:04,  2.03s/it]
Train Epoch: 0 [3/62 (3%)] Loss: 0.051715: : 2it [00:05,  2.63s/it]
Train Epoch: 0 [3/62 (3%)] Loss: 0.051715: : 3it [00:05,  1.76s/it]
Train Epoch: 0 [4/62 (5%)] Loss: 0.051881: : 3it [00:06,  2.22s/it]
Train Epoch: 0 [4/62 (5%)] Loss: 0.051881: : 4it [00:06,  1.67s/it]
Train Epoch: 0 [5/62 (6%)] Loss: 0.050062: : 4it [00:07,  1.96s/it]
Train Epoch: 0 [5/62 (6%)] Loss: 0.050062: : 5it [00:07,  1.57s/it]
Train Epoch: 0 [6/62 (8%)] Loss: 0.050950: : 5it [00:08,  1.76s/it]
Train Epoch: 0 [6/62 (8%)] Loss: 0.050950: : 6it [00:08,  1.47s/it]
Train Epoch: 0 [7/62 (10%)] Loss: 0.049494: : 6it [00:09,  1.65s/it]
Train Epoch: 0 [7/62 (10%)] Loss: 0.049494: : 7it [00:09,  1.41s/it]
Train Epoch: 0 [8/62 (11%)] Loss: 0.050004: : 7it [00:11,  1.58s/it]
Train Epoch: 0 [8/62 (11%)] Loss: 0.050004: : 8it [00:11,  1.38s/it]
Train Epoch: 0 [9/62 (13%)] Loss: 0.051562: : 8it [00:12,  1.51s/it]
Train Epoch: 0 [9/62 (13%)] Loss: 0.051562: : 9it [00:12,  1.34s/it]
Train Epoch: 0 [10/62 (15%)] Loss: 0.048587: : 9it [00:12,  1.44s/it]
Train Epoch: 0 [10/62 (15%)] Loss: 0.048587: : 10it [00:12,  1.30s/it]
Train Epoch: 0 [11/62 (16%)] Loss: 0.050164: : 10it [00:14,  1.42s/it]
Train Epoch: 0 [11/62 (16%)] Loss: 0.050164: : 11it [00:14,  1.29s/it]
Train Epoch: 0 [12/62 (18%)] Loss: 0.051174: : 11it [00:15,  1.38s/it]
Train Epoch: 0 [12/62 (18%)] Loss: 0.051174: : 12it [00:15,  1.26s/it]
Train Epoch: 0 [13/62 (19%)] Loss: 0.050313: : 12it [00:16,  1.34s/it]
Train Epoch: 0 [13/62 (19%)] Loss: 0.050313: : 13it [00:16,  1.24s/it]
Train Epoch: 0 [14/62 (21%)] Loss: 0.049717: : 13it [00:17,  1.33s/it]
Train Epoch: 0 [14/62 (21%)] Loss: 0.049717: : 14it [00:17,  1.23s/it]
Train Epoch: 0 [15/62 (23%)] Loss: 0.050014: : 14it [00:18,  1.30s/it]
Train Epoch: 0 [15/62 (23%)] Loss: 0.050014: : 15it [00:18,  1.22s/it]
Train Epoch: 0 [16/62 (24%)] Loss: 0.049701: : 15it [00:19,  1.31s/it]
Train Epoch: 0 [16/62 (24%)] Loss: 0.049701: : 16it [00:19,  1.22s/it]
Train Epoch: 0 [17/62 (26%)] Loss: 0.051102: : 16it [00:20,  1.31s/it]
Train Epoch: 0 [17/62 (26%)] Loss: 0.051102: : 17it [00:20,  1.23s/it]
Train Epoch: 0 [18/62 (27%)] Loss: 0.050252: : 17it [00:22,  1.30s/it]
Train Epoch: 0 [18/62 (27%)] Loss: 0.050252: : 18it [00:22,  1.23s/it]
Train Epoch: 0 [19/62 (29%)] Loss: 0.049873: : 18it [00:23,  1.30s/it]
Train Epoch: 0 [19/62 (29%)] Loss: 0.049873: : 19it [00:23,  1.23s/it]
Train Epoch: 0 [20/62 (31%)] Loss: 0.050746: : 19it [00:25,  1.32s/it]
Train Epoch: 0 [20/62 (31%)] Loss: 0.050746: : 20it [00:25,  1.26s/it]
Train Epoch: 0 [21/62 (32%)] Loss: 0.051598: : 20it [00:26,  1.31s/it]
Train Epoch: 0 [21/62 (32%)] Loss: 0.051598: : 21it [00:26,  1.24s/it]
Train Epoch: 0 [22/62 (34%)] Loss: 0.048644: : 21it [00:27,  1.30s/it]
Train Epoch: 0 [22/62 (34%)] Loss: 0.048644: : 22it [00:27,  1.24s/it]
Train Epoch: 0 [23/62 (35%)] Loss: 0.050320: : 22it [00:28,  1.30s/it]
Train Epoch: 0 [23/62 (35%)] Loss: 0.050320: : 23it [00:28,  1.24s/it]
Train Epoch: 0 [24/62 (37%)] Loss: 0.051411: : 23it [00:29,  1.29s/it]
Train Epoch: 0 [24/62 (37%)] Loss: 0.051411: : 24it [00:29,  1.23s/it]
Train Epoch: 0 [25/62 (39%)] Loss: 0.050275: : 24it [00:30,  1.28s/it]
Train Epoch: 0 [25/62 (39%)] Loss: 0.050275: : 25it [00:30,  1.23s/it]
Train Epoch: 0 [26/62 (40%)] Loss: 0.049197: : 25it [00:32,  1.28s/it]
Train Epoch: 0 [26/62 (40%)] Loss: 0.049197: : 26it [00:32,  1.23s/it]
Train Epoch: 0 [27/62 (42%)] Loss: 0.050103: : 26it [00:33,  1.27s/it]
Train Epoch: 0 [27/62 (42%)] Loss: 0.050103: : 27it [00:33,  1.23s/it]
Train Epoch: 0 [28/62 (44%)] Loss: 0.048535: : 27it [00:34,  1.27s/it]
Train Epoch: 0 [28/62 (44%)] Loss: 0.048535: : 28it [00:34,  1.22s/it]
Train Epoch: 0 [29/62 (45%)] Loss: 0.049819: : 28it [00:35,  1.27s/it]
Train Epoch: 0 [29/62 (45%)] Loss: 0.049819: : 29it [00:35,  1.22s/it]
Train Epoch: 0 [30/62 (47%)] Loss: 0.048710: : 29it [00:36,  1.27s/it]
Train Epoch: 0 [30/62 (47%)] Loss: 0.048710: : 30it [00:36,  1.22s/it]
Train Epoch: 0 [31/62 (48%)] Loss: 0.050805: : 30it [00:37,  1.26s/it]
Train Epoch: 0 [31/62 (48%)] Loss: 0.050805: : 31it [00:37,  1.22s/it]
Train Epoch: 0 [32/62 (50%)] Loss: 0.049526: : 31it [00:38,  1.24s/it]
Train Epoch: 0 [32/62 (50%)] Loss: 0.049526: : 32it [00:38,  1.20s/it]
Train Epoch: 0 [33/62 (52%)] Loss: 0.049741: : 32it [00:39,  1.24s/it]
Train Epoch: 0 [33/62 (52%)] Loss: 0.049741: : 33it [00:39,  1.21s/it]
Train Epoch: 0 [34/62 (53%)] Loss: 0.050195: : 33it [00:41,  1.25s/it]
Train Epoch: 0 [34/62 (53%)] Loss: 0.050195: : 34it [00:41,  1.21s/it]
Train Epoch: 0 [35/62 (55%)] Loss: 0.048665: : 34it [00:42,  1.24s/it]
Train Epoch: 0 [35/62 (55%)] Loss: 0.048665: : 35it [00:42,  1.21s/it]
Train Epoch: 0 [36/62 (56%)] Loss: 0.050265: : 35it [00:43,  1.24s/it]
Train Epoch: 0 [36/62 (56%)] Loss: 0.050265: : 36it [00:43,  1.21s/it]
Train Epoch: 0 [37/62 (58%)] Loss: 0.050864: : 36it [00:44,  1.24s/it]
Train Epoch: 0 [37/62 (58%)] Loss: 0.050864: : 37it [00:44,  1.21s/it]
Train Epoch: 0 [38/62 (60%)] Loss: 0.048737: : 37it [00:45,  1.24s/it]
Train Epoch: 0 [38/62 (60%)] Loss: 0.048737: : 38it [00:45,  1.21s/it]
Train Epoch: 0 [39/62 (61%)] Loss: 0.050626: : 38it [00:47,  1.25s/it]
Train Epoch: 0 [39/62 (61%)] Loss: 0.050626: : 39it [00:47,  1.22s/it]
