Random Sampling
Training parameters: {'LOG_DIR': '../logs', 'dataset': 'cars', 'sz_embedding': 512, 'sz_batch': 128, 'nb_epochs': 1, 'gpu_id': 0, 'nb_workers': 0, 'model': 'bn_inception', 'loss': 'TripletPCA2', 'optimizer': 'adamw', 'lr': 0.0001, 'weight_decay': 0.0001, 'lr_decay_step': 20, 'lr_decay_gamma': 0.5, 'alpha': 32, 'mrg': 0.1, 'IPC': None, 'warm': 1, 'bn_freeze': 1, 'l2_norm': 1, 'remark': ''}
Training for 1 epochs.

0it [00:00, ?it/s]
Train Epoch: 0 [1/62 (0%)] Loss: 0.057808: : 0it [00:02, ?it/s]
Train Epoch: 0 [1/62 (0%)] Loss: 0.057808: : 1it [00:02,  2.70s/it]
Train Epoch: 0 [2/62 (2%)] Loss: 0.057288: : 1it [00:03,  3.87s/it]
Train Epoch: 0 [2/62 (2%)] Loss: 0.057288: : 2it [00:03,  1.94s/it]
Train Epoch: 0 [3/62 (3%)] Loss: 0.059117: : 2it [00:04,  2.46s/it]
Train Epoch: 0 [3/62 (3%)] Loss: 0.059117: : 3it [00:04,  1.64s/it]
Train Epoch: 0 [4/62 (5%)] Loss: 0.055536: : 3it [00:06,  2.09s/it]
Train Epoch: 0 [4/62 (5%)] Loss: 0.055536: : 4it [00:06,  1.57s/it]
Train Epoch: 0 [5/62 (6%)] Loss: 0.058170: : 4it [00:07,  1.83s/it]
Train Epoch: 0 [5/62 (6%)] Loss: 0.058170: : 5it [00:07,  1.47s/it]
Train Epoch: 0 [6/62 (8%)] Loss: 0.057797: : 5it [00:08,  1.74s/it]
Train Epoch: 0 [6/62 (8%)] Loss: 0.057797: : 6it [00:08,  1.45s/it]
Train Epoch: 0 [7/62 (10%)] Loss: 0.052658: : 6it [00:09,  1.66s/it]
Train Epoch: 0 [7/62 (10%)] Loss: 0.052658: : 7it [00:09,  1.42s/it]
Train Epoch: 0 [8/62 (11%)] Loss: 0.059317: : 7it [00:11,  1.61s/it]
Train Epoch: 0 [8/62 (11%)] Loss: 0.059317: : 8it [00:11,  1.41s/it]
Train Epoch: 0 [9/62 (13%)] Loss: 0.058606: : 8it [00:12,  1.58s/it]
Train Epoch: 0 [9/62 (13%)] Loss: 0.058606: : 9it [00:12,  1.41s/it]
Train Epoch: 0 [10/62 (15%)] Loss: 0.055747: : 9it [00:14,  1.56s/it]
Train Epoch: 0 [10/62 (15%)] Loss: 0.055747: : 10it [00:14,  1.41s/it]
Train Epoch: 0 [11/62 (16%)] Loss: 0.056669: : 10it [00:15,  1.56s/it]
Train Epoch: 0 [11/62 (16%)] Loss: 0.056669: : 11it [00:15,  1.42s/it]
Train Epoch: 0 [12/62 (18%)] Loss: 0.054328: : 11it [00:17,  1.55s/it]
Train Epoch: 0 [12/62 (18%)] Loss: 0.054328: : 12it [00:17,  1.42s/it]
Train Epoch: 0 [13/62 (19%)] Loss: 0.054958: : 12it [00:18,  1.53s/it]
Train Epoch: 0 [13/62 (19%)] Loss: 0.054958: : 13it [00:18,  1.42s/it]
Train Epoch: 0 [14/62 (21%)] Loss: 0.056366: : 13it [00:19,  1.53s/it]
